,Rok,Miesiąc,Dzień,T_MAX,T_MIN,T_ŚR,Suma dobowa opadów,Średnia wilgotność,Średnia prędkość wiatru,Średnie zachmurzenie,Ciśnienie na stacji
62,2011.0,1.0,1.0,2.0,-2.5,0.1,0.0,74.3,4.0,7.0,983.5
63,2011.0,1.0,2.0,2.4,-1.8,0.0,0.0,72.5,2.7,5.3,984.9
64,2011.0,1.0,3.0,0.4,-2.8,-1.5,0.1,83.8,1.7,7.7,989.7
65,2011.0,1.0,4.0,-0.6,-6.2,-4.5,0.0,83.0,0.7,2.3,992.3
66,2011.0,1.0,5.0,-2.1,-10.7,-7.4,0.0,78.5,0.3,2.3,991.2
67,2011.0,1.0,6.0,4.5,-12.5,-4.9,1.1,74.3,0.0,5.0,984.9
68,2011.0,1.0,7.0,7.9,-0.2,3.3,0.3,79.3,0.7,6.7,985.5
69,2011.0,1.0,8.0,5.0,1.2,2.9,6.9,90.0,0.3,7.3,986.3
70,2011.0,1.0,9.0,6.4,-0.5,2.1,0.1,94.3,0.7,5.0,986.7
71,2011.0,1.0,10.0,2.8,-0.7,1.2,0.5,94.5,0.3,8.0,992.6
72,2011.0,1.0,11.0,3.1,0.6,1.8,0.0,95.0,1.0,8.0,987.5
73,2011.0,1.0,12.0,7.0,0.4,3.7,3.0,82.3,2.7,7.3,985.7
74,2011.0,1.0,13.0,5.3,0.7,3.4,3.2,89.0,0.7,7.7,982.7
75,2011.0,1.0,14.0,9.0,3.5,6.8,2.7,95.3,2.3,8.0,982.8
76,2011.0,1.0,15.0,9.9,6.5,7.7,1.9,85.3,2.3,7.0,987.9
77,2011.0,1.0,16.0,7.2,2.4,3.9,0.5,92.3,0.7,5.0,997.3
78,2011.0,1.0,17.0,8.9,-2.0,2.0,0.0,86.3,0.7,0.3,996.8
79,2011.0,1.0,18.0,5.4,-2.9,1.1,0.0,87.8,0.7,6.0,994.0
80,2011.0,1.0,19.0,6.4,2.2,3.6,4.5,90.0,1.3,8.0,991.7
81,2011.0,1.0,20.0,3.0,0.2,1.1,0.9,84.8,1.7,7.3,993.0
82,2011.0,1.0,21.0,0.8,-1.2,-0.6,0.0,79.0,1.7,7.3,997.9
83,2011.0,1.0,22.0,-0.4,-2.8,-1.5,0.0,71.5,1.0,7.7,998.7
84,2011.0,1.0,23.0,-0.3,-2.8,-1.6,1.2,84.5,3.0,8.0,990.1
85,2011.0,1.0,24.0,-0.8,-3.6,-2.7,0.0,71.5,1.3,7.3,990.2
86,2011.0,1.0,25.0,0.0,-8.4,-4.2,0.3,82.3,0.7,7.7,982.4
87,2011.0,1.0,26.0,3.9,-0.6,0.7,0.6,76.3,1.0,7.3,978.3
88,2011.0,1.0,27.0,3.2,-1.2,0.3,0.0,84.8,0.3,7.3,988.0
89,2011.0,1.0,28.0,0.5,-3.3,-1.5,0.0,82.5,1.3,6.0,997.5
90,2011.0,1.0,29.0,-0.3,-7.4,-4.7,0.0,87.3,0.0,3.3,995.5
91,2011.0,1.0,30.0,1.5,-8.0,-4.0,0.0,77.3,0.7,3.0,992.1
92,2011.0,1.0,31.0,-1.6,-6.3,-4.3,0.0,85.8,1.0,6.3,995.8
93,2012.0,1.0,1.0,4.0,-4.1,-0.2,0.0,83.5,0.3,7.3,987.4
94,2012.0,1.0,2.0,11.6,2.5,5.8,0.6,83.3,1.0,7.0,983.8
95,2012.0,1.0,3.0,9.1,2.7,5.0,0.0,82.8,2.0,4.0,989.7
96,2012.0,1.0,4.0,9.4,2.0,6.3,7.4,74.0,3.7,7.0,981.8
97,2012.0,1.0,5.0,6.4,3.1,4.9,2.0,63.8,3.0,7.7,965.8
98,2012.0,1.0,6.0,5.9,1.2,2.9,2.2,88.3,4.3,8.0,967.9
99,2012.0,1.0,7.0,3.8,0.2,1.6,3.5,76.5,1.7,4.3,983.5
100,2012.0,1.0,8.0,4.4,0.4,2.7,0.4,91.5,2.3,7.7,981.9
101,2012.0,1.0,9.0,3.5,2.0,2.7,2.4,85.3,2.0,7.3,990.6
102,2012.0,1.0,10.0,4.1,0.2,2.1,1.6,93.0,2.0,8.0,993.6
103,2012.0,1.0,11.0,5.0,1.6,3.4,0.9,87.5,2.7,8.0,998.5
104,2012.0,1.0,12.0,8.5,4.0,5.9,3.6,80.8,2.0,6.3,990.4
105,2012.0,1.0,13.0,7.1,0.4,2.7,4.0,78.3,3.3,7.7,980.7
106,2012.0,1.0,14.0,1.1,-1.5,-0.4,2.2,87.0,3.3,8.0,981.8
107,2012.0,1.0,15.0,-0.7,-3.1,-1.8,0.1,75.0,3.0,7.7,987.1
108,2012.0,1.0,16.0,-1.7,-5.4,-3.7,1.8,83.0,2.3,7.0,992.8
109,2012.0,1.0,17.0,0.0,-3.8,-2.3,0.1,85.0,1.3,8.0,993.0
110,2012.0,1.0,18.0,1.5,-6.6,-2.3,0.9,82.8,1.7,6.0,996.8
111,2012.0,1.0,19.0,2.7,-2.6,0.7,3.3,88.5,2.3,7.7,984.8
112,2012.0,1.0,20.0,5.4,0.7,2.5,3.0,68.5,2.3,6.7,977.9
